Mail on Sunday (London),Sunday Business Post,The Herald (Ireland),The Irish Times,dail
,1.3333333333333333,1.0454545454545454,1.1428571428571428,1.5555555555555556
,1.2,1.1666666666666667,1.6842105263157894,
1.4444444444444444,1.4761904761904763,1.1481481481481481,1.0,
1.3043478260869565,1.35,1.0952380952380953,1.96,
1.1751152073732718,1.5555555555555556,1.375,1.1428571428571428,
,1.2142857142857142,1.5517241379310345,1.3783783783783783,
,1.6333333333333333,1.4,1.7857142857142858,
1.4,1.325,1.8125,1.3333333333333333,
1.263157894736842,2.0416666666666665,1.2380952380952381,1.0161290322580645,
1.0,1.3632478632478633,1.5,1.6818181818181819,
,1.8857142857142857,1.1428571428571428,1.2857142857142858,
1.4285714285714286,1.2619047619047619,1.5714285714285714,1.2380952380952381,
1.2352941176470589,1.1568627450980393,1.4705882352941178,1.5333333333333334,1.4285714285714286
1.3125,,1.5833333333333333,1.4848484848484849,1.4545454545454546
1.4285714285714286,1.46,1.7058823529411764,1.4782608695652173,1.4545454545454546
,,1.4210526315789473,1.2,1.4
1.4390243902439024,1.21875,1.25,1.5238095238095237,1.4
1.3846153846153846,1.2777777777777777,1.6363636363636365,1.5714285714285714,1.5714285714285714
1.1523178807947019,1.4,1.3636363636363635,1.434782608695652,1.5714285714285714
,,1.2222222222222223,1.2727272727272727,
1.1666666666666667,1.2666666666666666,1.3529411764705883,1.1224489795918366,
1.3076923076923077,1.0689655172413792,1.2352941176470589,1.2307692307692308,1.3333333333333333
1.3333333333333333,1.1538461538461537,1.59375,1.3055555555555556,1.6923076923076923
,1.32,1.25,1.7142857142857142,
1.511111111111111,1.576271186440678,1.2352941176470589,1.1224489795918366,1.2
,1.1764705882352942,1.1666666666666667,1.3541666666666667,1.8
1.588235294117647,1.3548387096774193,1.0,1.75,1.75
1.4222222222222223,,,,1.3333333333333333
,1.4166666666666667,1.625,1.2222222222222223,2.4444444444444446
1.2727272727272727,,1.2258064516129032,1.3333333333333333,2.4444444444444446
1.175,1.1666666666666667,1.56,,1.875
,1.1571428571428573,1.3414634146341464,1.4772727272727273,1.4202898550724639
1.2352941176470589,1.0,1.0952380952380953,1.3888888888888888,1.25
1.625,1.6923076923076923,,1.4142857142857144,1.25
1.4264705882352942,1.4242424242424243,,1.4230769230769231,1.3666666666666667
1.1935483870967742,1.1627906976744187,1.6153846153846154,1.3846153846153846,1.456140350877193
1.2142857142857142,1.1176470588235294,1.3448275862068966,1.4444444444444444,1.456140350877193
,1.0,2.037037037037037,1.5263157894736843,1.3823529411764706
1.75,,1.5263157894736843,1.0833333333333333,1.2
1.1666666666666667,1.7428571428571429,1.0714285714285714,1.9166666666666667,1.0
1.457142857142857,1.5098039215686274,1.411764705882353,1.1,
1.1779661016949152,1.1454545454545455,,,
1.5238095238095237,1.4489795918367347,,1.0571428571428572,1.5294117647058822
1.0,1.2352941176470589,1.4666666666666666,2.217391304347826,1.2
1.7241379310344827,,1.8571428571428572,1.9824561403508771,
1.2222222222222223,1.0980392156862746,1.3043478260869565,1.4285714285714286,
1.625,1.2083333333333333,1.7741935483870968,,
1.2439024390243902,,1.3235294117647058,1.3461538461538463,
1.5892857142857142,1.4285714285714286,1.0,1.15,
1.105263157894737,1.6,1.5384615384615385,1.3582089552238805,
,1.2222222222222223,1.3478260869565217,1.1666666666666667,
1.2207792207792207,1.4583333333333333,1.4166666666666667,1.1176470588235294,
1.367816091954023,1.1532846715328466,1.303030303030303,,
1.75,1.3125,1.45,1.6111111111111112,1.3333333333333333
1.25,1.8461538461538463,1.6666666666666667,,1.375
1.368421052631579,1.5510204081632653,1.1935483870967742,,
1.1527777777777777,2.1176470588235294,1.2666666666666666,1.8333333333333333,
1.1282051282051282,1.5818181818181818,,,
1.0,1.2941176470588236,1.6333333333333333,,
1.48,1.5769230769230769,1.0,1.1428571428571428,
1.45,1.25,1.28,1.6666666666666667,
1.2394366197183098,1.4285714285714286,1.44,2.0,
,1.625,1.0,1.53125,
1.530612244897959,1.5357142857142858,1.380952380952381,1.3333333333333333,1.4705882352941178
,1.8852459016393444,1.6842105263157894,1.0555555555555556,1.5416666666666667
1.1266375545851528,2.0625,1.2903225806451613,1.5,1.5416666666666667
1.7777777777777777,,1.0666666666666667,,
1.4615384615384615,2.142857142857143,1.3846153846153846,1.21875,
,1.4215686274509804,2.3333333333333335,1.4615384615384615,
,1.2777777777777777,1.3529411764705883,1.8571428571428572,1.6
,1.6206896551724137,,1.1333333333333333,1.25
,1.6153846153846154,1.375,1.3793103448275863,
,1.10752688172043,1.6071428571428572,1.4193548387096775,
,1.625,1.5172413793103448,1.8461538461538463,
1.5,1.4166666666666667,1.7142857142857142,1.9,
1.8076923076923077,1.105263157894737,1.434782608695652,1.1090909090909091,
1.0833333333333333,1.5,1.2727272727272727,1.6875,
1.3,1.5952380952380953,1.2058823529411764,,1.4210526315789473
1.1428571428571428,,1.625,1.1304347826086956,1.4210526315789473
,1.3442622950819672,1.25,1.435897435897436,1.8181818181818181
1.25,1.728813559322034,1.3888888888888888,,1.375
1.2,1.623076923076923,1.1666666666666667,1.3333333333333333,1.375
1.088235294117647,1.411764705882353,1.4545454545454546,1.1923076923076923,1.588235294117647
1.8181818181818181,1.6194690265486726,1.1818181818181819,1.3541666666666667,1.2727272727272727
1.25,1.3529411764705883,1.2333333333333334,1.2941176470588236,1.826086956521739
1.5555555555555556,1.7058823529411764,1.1666666666666667,,
1.4107142857142858,1.0909090909090908,1.5,1.0,
1.4333333333333333,1.0,1.5,,1.0
1.018181818181818,1.2307692307692308,1.4090909090909092,1.0,1.625
,1.3555555555555556,1.7123287671232876,,1.7272727272727273
,1.4210526315789473,1.7727272727272727,1.3333333333333333,
1.4285714285714286,1.5483870967741935,1.34,1.55,1.4807692307692308
1.2,1.558139534883721,,1.75,1.4807692307692308
1.0952380952380953,1.4,1.16,1.4375,1.125
1.6363636363636365,1.4705882352941178,1.55,1.0357142857142858,2.2
1.7142857142857142,1.9375,1.4230769230769231,1.631578947368421,
1.45,,1.44,1.5294117647058822,
1.3553299492385786,1.1875,1.2916666666666667,1.7543859649122806,2.2222222222222223
1.1538461538461537,1.1666666666666667,1.1395348837209303,1.109375,1.6153846153846154
,1.836734693877551,1.173913043478261,,
,1.5,1.3125,1.8275862068965518,
,1.5517241379310345,1.4814814814814814,1.2857142857142858,
1.125,1.7333333333333334,1.0,1.537037037037037,
,1.4,1.4545454545454546,1.4545454545454546,1.0666666666666667
,1.4545454545454546,1.6428571428571428,1.52,
1.0666666666666667,1.0612244897959184,1.7857142857142858,1.024390243902439,
1.575,1.1956521739130435,1.0512820512820513,,
1.0625,1.3666666666666667,2.138888888888889,1.5714285714285714,1.4406779661016949
,1.0655737704918034,1.2272727272727273,1.8125,1.4406779661016949
1.3461538461538463,1.7826086956521738,1.608695652173913,1.6,1.6956521739130435
1.1,1.736842105263158,1.0,1.2,
1.4210526315789473,1.2363636363636363,1.4666666666666666,1.6666666666666667,1.2857142857142858
,1.2388059701492538,,1.5454545454545454,
1.558139534883721,1.1333333333333333,1.9130434782608696,1.4285714285714286,1.2619047619047619
1.3695652173913044,1.4,1.631578947368421,1.8421052631578947,1.2619047619047619
,1.5,,1.8333333333333333,1.1578947368421053
1.1428571428571428,1.6266666666666667,1.12,1.6521739130434783,1.2178217821782178
1.3650793650793651,1.3333333333333333,1.3448275862068966,1.588235294117647,1.2
1.619047619047619,,1.4615384615384615,1.9,1.0
1.3333333333333333,1.2380952380952381,1.6,1.4,1.4285714285714286
1.2077922077922079,1.3529411764705883,1.3,1.3428571428571427,1.3888888888888888
,1.25,1.2380952380952381,1.3333333333333333,1.625
1.2795698924731183,1.3137254901960784,1.793103448275862,1.2833333333333334,1.4285714285714286
1.5,1.1333333333333333,1.565217391304348,1.309090909090909,1.6
1.8181818181818181,1.0,1.0,1.9230769230769231,
