Mail on Sunday (London),Sunday Business Post,The Herald (Ireland),The Irish Times,dail
0.6730827067669174,0.9153216374269006,0.8756756756756756,0.8834607645875252,0.883921568627451
0.9390144927536233,0.9008771929824563,0.9042914979757085,0.8980357142857144,0.893623188405797
,0.8887855297157624,0.8851985559566785,0.8955717761557178,0.6817391304347827
,0.9135112936344969,0.8944827586206898,0.9236885245901639,0.8857347670250896
0.947377049180328,0.9009651474530831,0.907878787878788,0.9246076794657762,0.8857347670250896
0.9422222222222223,0.8726110678098207,0.9,0.8984897025171625,0.8668208092485549
0.8627520435967302,0.9014169570267133,0.9091472868217054,0.8813669064748201,0.8668208092485549
0.8909826589595375,0.8914138817480719,0.9211640211640212,0.8516129032258065,0.8914728682170543
0.8832941176470588,0.9018909899888766,0.907948051948052,0.8903954802259887,0.8914728682170543
0.9092180312787488,0.8758709677419354,0.8777931034482758,0.8851560379918589,0.8731632653061225
0.9196044499381953,0.8883620689655174,0.9102834008097167,0.8963049853372433,0.8731632653061225
,0.8880522875816995,0.8891525423728814,0.9096363636363637,0.8974403470715836
0.8971941638608305,0.8878468899521531,0.9053254437869823,0.8963568773234201,0.8974403470715836
0.9075409836065574,0.9154436450839328,0.9055102040816327,0.9206367041198502,0.8294230769230769
0.9018491484184915,0.906930693069307,0.8889062500000001,0.9025238095238095,0.8903703703703705
0.9385074626865672,,0.8675555555555554,0.8938136645962733,0.8629133858267718
,0.8751048951048953,0.8911656441717792,0.9177753058954394,0.8629133858267718
,0.9011363636363637,0.9146052631578948,0.9114132379248657,0.8486597938144329
0.91338199513382,0.9101062801932368,0.9041975308641976,0.8991975775927329,0.8785046728971962
0.9108724832214765,0.9039525691699607,0.873900293255132,0.8760509554140129,0.899622641509434
0.9120547945205479,0.8886821705426355,0.8698571428571429,0.8985767790262171,0.8657569296375267
0.8793305439330543,0.9326792452830189,0.8967955801104973,0.918732394366197,0.8826865671641791
0.8824575163398694,0.8881065334997919,0.9272514619883041,0.8955608591885442,0.881204633204633
0.8755140186915887,0.9018387096774193,0.8842178447276943,0.9496296296296296,
0.92384074941452,0.9146734955185661,0.9079497907949791,0.9158415841584159,0.9415873015873016
0.9229535864978905,0.9273154362416108,0.9028132992327366,0.8930555555555557,0.8513761467889908
0.9108880308880309,0.8974626865671642,0.8899300699300698,0.8872586872586873,0.8956630265210609
0.9104347826086957,0.8878723404255319,0.9062978723404256,0.9025850340136055,0.8863492063492067
,0.9027906976744187,0.8704721030042919,0.9045454545454544,0.8863492063492067
0.9102976190476191,0.8707323568575231,0.8528301886792453,0.8756565656565658,
0.9099999999999999,0.8896703296703298,0.9141614906832298,0.8793984962406015,0.8668965517241379
0.9155855855855856,0.9049023861171367,0.8911538461538462,0.8872151898734176,0.8516339869281044
,0.8909179213210296,0.8966393442622952,0.9130666666666668,
,0.883758389261745,0.886206896551724,0.8888328075709779,
,0.8865185185185186,0.8884210526315791,0.9190697674418605,0.8758208955223881
,0.9046153846153846,0.8961783439490445,0.9366172106824926,0.9075
0.9057738748627883,0.8767403958090805,0.8914509803921569,0.9339826086956521,0.8695384615384615
,0.8815353535353536,0.890655737704918,0.9231858407079647,0.8262068965517243
0.8822018348623852,0.9000703399765533,0.931743119266055,0.925449275362319,0.8551824817518248
,0.8950672645739911,0.8859459459459458,0.8286330935251799,0.8746781115879829
0.9254450261780104,0.9020779220779218,0.8747619047619047,0.9156855575868373,0.96
0.9066845637583892,0.9298360655737705,0.915085995085995,0.9259649122807019,0.96
0.9130956848030019,0.9229916897506925,0.8963522012578615,0.9112554112554112,
0.8675714285714285,0.901033434650456,0.8930149253731342,0.9075968992248061,
,0.9033097595473831,0.8707954545454545,0.9110928961748633,
0.906294227188082,0.9054574132492115,0.9060606060606061,0.8682105263157897,
0.914945054945055,0.9358125915080528,0.9118688524590164,0.9151060358890702,0.8485714285714285
0.9088817891373803,0.8835393258426967,0.8676190476190475,0.8901610904584882,
0.9131506849315068,0.8725402434236357,0.9220571428571428,0.8830708661417324,
0.9214682981090101,0.8813986013986014,0.8929411764705883,0.8511698113207548,
0.9100224719101124,0.8998047419804743,0.9196116504854371,0.903089430894309,
0.8860550458715597,0.8267857142857143,0.9416949152542371,0.8861083743842364,0.8797202797202796
0.9266968325791856,0.8952919020715633,0.9130985915492957,0.9214408233276159,0.8940983606557378
0.9145507246376811,0.8935765472312706,0.8710610328638497,0.885835294117647,0.8940983606557378
0.9055927051671733,0.9282711864406781,0.8753467561521253,0.8703289473684211,0.8578947368421052
0.8954233409610984,0.8649293563579279,0.8779964221824686,0.939951573849879,0.8578947368421052
0.9024418604651163,0.9467669172932329,0.9229184549356223,0.8628915662650603,0.8774468085106389
0.9131434489901606,0.900051948051948,0.9160493827160492,0.8739449541284403,0.8774468085106389
0.9138121546961324,0.862170542635659,0.893062605752961,0.8923809523809525,
0.8997938144329898,0.9315277777777778,0.88203125,0.8888498683055313,
0.907843137254902,0.9138235294117648,0.8815770609318997,0.8958793969849248,0.8634343434343433
0.9329124820659972,0.8807048458149781,0.8895135135135135,0.9035448577680526,0.8872992700729927
0.8862827225130891,0.9051724137931034,0.9260130718954249,0.8931573157315733,
0.930164705882353,0.9014022140221403,0.9241322314049587,0.887723035952064,0.6645161290322582
0.9105539358600585,0.8880258899676376,0.8387548638132296,0.9298903775883071,0.8851063829787237
0.9135802469135804,0.8883253588516747,0.868471615720524,0.9174947807933195,0.9045901639344263
0.8878824969400246,0.8615807560137456,0.8989473684210527,0.9172769953051643,0.8331428571428572
0.9192792792792793,0.9010033444816054,0.8986086956521739,0.8674846625766872,0.8302097902097902
0.9331598513011152,0.891934426229508,0.8950185873605948,0.9052452025586355,0.8302097902097902
0.9032279534109817,0.8834258142340169,0.8930364372469636,0.9013120000000001,0.881939393939394
0.9149596122778674,0.8899014778325125,0.8748254620123205,0.8776825028968714,0.8869398430688753
0.9104761904761904,0.8865979381443299,0.9195280235988201,0.9117684887459807,0.854279379157428
0.8992907801418438,0.9137078651685394,0.9109278350515464,0.8927152317880795,0.854279379157428
0.9189963099630997,0.8976681614349776,0.898989898989899,0.8983084577114427,0.8718446601941748
0.9152727272727271,0.9373793103448277,0.8668656716417911,0.8947091932457786,0.8819348054679286
0.9138461538461538,0.9172972972972973,0.9019068736141906,0.91,0.8819348054679286
0.9400000000000001,0.884712990936556,0.8845238095238097,0.9044725738396625,0.8557549234135668
0.9131487889273355,0.9078947368421053,0.898569424964937,0.8963573883161513,0.876521739130435
0.9254700854700856,0.9130980392156861,0.9288172043010752,0.8894714587737844,0.8596677740863787
0.9124698795180721,0.8780472103004293,0.8765829145728643,0.890556552962298,
0.9011360634081902,0.8792743764172335,0.9187096774193548,0.8383175033921303,
0.9144479495268139,0.8927088607594936,0.8903846153846153,0.8717981072555203,0.8451428571428571
0.8996363636363636,0.8920293398533008,0.901191222570533,0.8958279569892474,0.9213333333333336
0.872526690391459,0.9018834080717489,0.9364192139737991,0.9098498023715416,
0.8685106382978725,0.9033062330623307,0.8965882352941176,0.8965156794425088,
0.9204210526315789,0.8946678476527902,0.9019108280254778,0.8685185185185185,
0.8701183431952664,0.9090410958904108,0.8894163424124514,0.9310344827586207,
0.9158712121212123,0.8858267716535434,0.898532110091743,0.8824852071005918,0.785
0.9189145728643217,0.8969460390355913,0.8926984126984127,0.8951118210862619,0.785
0.8822346368715082,0.8792013311148085,0.8867768595041323,0.9102990033222591,
0.9138103161397672,0.8895867768595042,0.9065263157894737,0.8934969325153373,
0.8904708699122107,0.8845012787723786,0.8964444444444444,0.8968421052631578,
0.9050389610389612,0.8515409836065575,0.9226506024096386,0.8879106858054225,0.8017021276595746
0.8979017857142857,0.8877192982456141,0.9087500000000002,0.948888888888889,0.8107563025210084
0.9062162162162161,0.9156962025316454,0.8831632653061224,0.9582857142857139,0.8266666666666667
0.9178732106339469,0.8885567010309278,0.8931654676258992,0.8878571428571428,0.8266666666666667
0.9098642533936652,0.8896692111959287,0.9154037267080745,0.8731034482758618,
0.9269692532942899,0.8794117647058823,0.896953642384106,0.8872727272727273,
0.9018504435994931,0.8832863849765259,0.8531147540983608,0.89875,
0.9024802110817941,0.8958041958041956,0.892809667673716,0.9093333333333333,
0.8922060252672499,0.9035571501793953,0.8859770114942528,0.8833939393939393,
0.8908307692307692,0.9095833333333333,0.9002898550724638,0.9088766114180479,
0.9214035087719299,0.9035478806907379,0.893968253968254,0.875275590551181,0.8611282051282051
0.9310734463276836,0.899055944055944,0.9295652173913045,0.875,0.8519387755102041
0.8781288981288983,0.9001312910284466,0.8966169154228856,0.9236734693877551,0.8519387755102041
0.9096629213483147,0.8681132075471698,0.9051707317073171,0.9275,
0.925390835579515,0.9047204968944099,0.918453038674033,0.8697237569060773,0.8933333333333334
0.8946478873239438,0.9044644870349493,0.8922181818181817,0.9017857142857144,0.8933333333333334
0.9566666666666667,0.8816845329249617,0.8875471698113206,0.9258762886597939,0.797
0.8521739130434783,0.913975903614458,0.8804651162790698,0.8810958904109588,0.8623102310231022
0.96,0.9177943368107303,0.9065116279069768,0.9085963382737575,0.7466666666666667
0.9142857142857143,0.9097707736389684,0.9020532319391635,0.9052160953800299,0.7466666666666667
